"","sample_size","ESSa","ESSa_seconds","ESSb","ESSb_seconds"
"...27",174,7.66973454663383,26.4154288768768,7.58065217675983,31.7134890556335
"...28",174,7.87419310163438,25.1621339321136,7.95789215849433,30.8448829650879
"...29",174,8.16607081125708,26.2090759277344,7.91776745720939,30.5355160236359
"...30",174,7.80977526139217,25.621964931488,7.6335266267949,29.8307020664215
"...31",174,7.2619226880947,33.5688288211823,7.13219227154551,26.6856758594513
"...32",174,7.36288299791143,26.9211761951447,7.19319389546408,24.1066861152649
"...33",174,7.31786587817056,33.6742939949036,7.0952067373567,27.9262609481812
"...34",174,7.53132542858685,27.3266689777374,7.28050932474407,26.4792499542236
"...35",174,7.73951658950736,33.9941260814667,7.75118550243902,27.7070581912994
"...36",174,7.74037525825403,29.3626410961151,7.39084256699783,25.6583681106567
"...37",174,7.87274711934761,27.6513521671295,7.70946251832564,24.3979630470276
"...38",174,7.84450323982296,33.9820091724396,7.74535578020704,27.5089390277863
"...39",174,8.04290324038606,32.7269611358643,8.06406887336908,26.37952709198
"...40",174,7.76477168290568,33.2337849140167,7.70449990504844,24.872743844986
"...41",174,7.3219428585935,1.2473391811053,7.28379899199933,51.7041029930115
"...42",174,6.40992478772304,1.34626449743907,6.33900671204992,49.5274660587311
"...43",174,7.18038048308531,1.24315583308538,6.93822498790755,50.8387608528137
"...44",174,8.06698802374268,1.34753473202387,8.06703933486371,49.1415989398956
"...45",174,7.68786431170748,1.26270161867142,7.52902715133067,51.7127830982208
"...46",174,7.55583083725838,1.34388396342595,7.35963132317774,50.1815750598907
"...47",174,7.13208911814123,1.35196126699448,6.85439164181919,49.7499418258667
"...48",174,7.59292841626228,1.23427181641261,7.53258282054346,52.5915911197662
"...49",174,7.45565469296242,1.30281800031662,7.32429472409327,51.5715980529785
"...50",174,7.25761965826188,1.30826831658681,7.28802679942216,50.8091468811035
"...1",87,7.88680100251437,19.3293440341949,7.76170673371083,23.7077779769897
"...2",87,7.26622488120201,19.5235888957977,7.03340663783506,26.4844930171967
"...3",87,7.58007235339827,19.5416181087494,7.38659113203481,23.7706091403961
"...4",87,7.79640479283507,19.4229609966278,7.60148776435795,24.4934051036835
"...5",87,6.99086085981769,19.5354158878326,7.04127324292295,25.2130110263824
"...6",87,7.89349084415199,19.5000739097595,7.7254921915609,24.3437869548798
"...7",87,7.47989980436143,19.5349431037903,7.47598638607301,24.5136799812317
"...8",87,6.71087198142888,19.5607709884644,6.4409431480225,23.9737200737
"...9",87,7.36876264750667,19.5096199512482,7.05868764456623,24.7963221073151
"...10",87,7.2711261502719,19.5292890071869,7.17497472792902,24.2310929298401
"...11",87,7.13387642753908,15.0731310844421,6.91532604445394,15.4600381851196
"...12",87,7.47469742323597,15.9716999530792,7.50441957918531,16.3819160461426
"...13",87,7.6796280408299,14.7671937942505,7.37584062076733,13.2934610843658
"...14",87,9.06716074828376,15.9207599163055,8.9202957389872,16.7030808925629
"...15",87,7.8224112839204,15.8894469738007,7.65650646444604,14.7551710605621
"...16",87,6.44229290596276,17.227550983429,6.05864007774071,15.2408049106598
"...17",87,7.81214369263344,15.7699291706085,7.74899557395232,15.0720911026001
"...18",87,7.26099573233238,15.9530470371246,7.08354863974902,14.6471269130707
"...19",87,7.29189161492642,15.2981112003326,7.13290082559181,15.6113619804382
"...20",87,8.26571664324164,15.1880650520325,8.07331420189919,16.7962989807129
