"","sample_size","ESSa","ESSa_seconds","ESSb","ESSb_seconds"
"...9",1686,6.55611710777995,1.15383005142212,6.00657785747263,1.5196270942688
"...10",1686,6.57632316065121,1.20851492881775,5.94423836169929,1.51063299179077
"...11",1686,6.93780435417583,1.15958905220032,6.18093465078381,1.53909492492676
"...12",1686,6.6524026911858,1.17801690101624,6.0271623923242,1.52035093307495
"...13",1686,6.37392723605624,1.19245505332947,6.04378996887506,1.51944208145142
"...14",1686,6.69386241985242,1.18604898452759,6.24557184684513,1.55817294120789
"...15",1686,6.73203782021062,1.17012691497803,5.94789485834633,1.51531600952148
"...16",1686,6.44478764238151,1.18620896339417,5.80148744784582,1.52482199668884
"...17",1686,6.6058051203836,1.45887207984924,6.04112125166921,2.02684998512268
"...18",1686,6.69696532834824,1.43764901161194,6.1138337514947,2.04104590415955
"...19",1686,6.62045075269993,1.45279097557068,6.11342382997477,2.15916991233826
"...20",1686,6.64762802634721,1.45982003211975,6.10607970633393,2.10386395454407
"...21",1686,6.45354978898943,1.49122214317322,5.87273400072329,2.0796160697937
"...22",1686,6.61668318149892,1.45115995407104,5.83807270413703,2.06276488304138
"...23",1686,6.65218453271197,1.41082310676575,5.9269222889779,2.13451814651489
"...24",1686,6.89693357448654,1.45417809486389,6.08245669801529,2.13925409317017
"...25",1686,6.64431559690753,1.27500915527344,6.10626162084047,1.65590500831604
"...26",1686,6.58723752087187,1.21878790855408,5.89923095984718,1.62971496582031
"...27",1686,6.65772870618078,1.23871994018555,6.01283650674326,1.61050295829773
"...28",1686,6.4170227432423,1.23779702186584,5.82567589017665,1.63058590888977
"...29",1686,6.71777611290206,1.24463081359863,6.23934705905772,1.64648604393005
"...30",1686,6.70251831946244,1.25980401039124,6.22167212303861,1.59612989425659
"...31",1686,6.64160180474792,1.22046899795532,6.22231002891478,1.63536787033081
"...32",1686,6.61010318952132,1.22503781318665,6.13431394049862,1.6245539188385
"...33",1686,6.44458128177211,1.30859184265137,5.88583904790243,1.05386996269226
"...34",1686,6.72994419268095,1.27585005760193,6.16327967564794,1.02430510520935
"...35",1686,6.44917232579675,1.29810190200806,6.03421229345761,1.11342716217041
"...36",1686,6.81834918488632,1.26429605484009,6.03580657098587,1.12732887268066
"...37",1686,6.64524089823927,1.29727101325989,6.19472547168063,1.0754189491272
"...38",1686,6.71031900940874,1.21817493438721,6.14446611267055,1.07878684997559
"...39",1686,6.48553897342519,1.27949714660645,5.84432621103629,1.03316402435303
"...40",1686,6.58339690976975,1.28000593185425,5.96057747193947,1.0523829460144
"...41",1686,6.44944067990749,1.11085295677185,6.03799962220054,1.09941387176514
"...42",1686,6.55664602318321,1.11638593673706,5.88508797579894,1.07016396522522
"...43",1686,6.60480489516199,1.05074191093445,5.90902021404649,1.14095902442932
"...44",1686,6.77318161186853,1.12365889549255,6.39790072976506,1.10811710357666
"...45",1686,6.536176517557,1.08090901374817,6.12043385128947,1.1775848865509
"...46",1686,6.75694281494492,1.07038998603821,6.14334804056906,1.0884211063385
"...47",1686,6.4166462097996,1.09795904159546,5.92349289897552,1.07885003089905
"...48",1686,6.46880221224826,1.06266403198242,5.91817651464468,1.08295392990112
"...49",1686,6.7375080712528,0.88078498840332,6.1653039999534,0.73202919960022
"...50",1686,6.42658287333219,0.7709059715271,5.77585138377416,0.882630109786987
"...1",843,6.12008734862636,1.14189410209656,5.65902062870127,1.28470802307129
"...2",843,6.66813061513837,1.16125512123108,6.1810471927089,1.264732837677
"...3",843,6.6646574633149,1.08734393119812,6.01627161449642,1.28992414474487
"...4",843,6.80199359013048,1.12638592720032,6.49528152890853,1.27867197990417
"...5",843,6.70063017723848,1.14839911460876,5.96508669923871,1.23752093315125
"...6",843,6.53024219152313,1.12775111198425,6.03152993972867,1.27267909049988
"...7",843,6.41850964546631,1.16104602813721,5.90320478011739,1.26215505599976
"...8",843,6.37073581503082,1.1586058139801,6.01548681661815,1.27109694480896
"...9",843,6.64930882479651,1.24597907066345,6.14509089819207,1.03192400932312
"...10",843,6.47509472982345,1.30614805221558,5.83383632979306,1.00554394721985
"...11",843,6.73094489230883,1.23252201080322,6.05988948344333,0.965359926223755
"...12",843,6.60489196245074,1.2443630695343,5.98294254767715,1.01507496833801
"...13",843,6.53983987367786,1.23690581321716,5.82956996125505,0.973786115646362
"...14",843,6.69575044521578,1.24375820159912,6.07662078120329,0.976274967193604
"...15",843,6.68687762558032,1.21024918556213,6.03783052961691,0.958829879760742
"...16",843,6.5169714660494,1.20263195037842,5.84644661923564,0.984081983566284
"...17",843,6.60670451356364,1.18713307380676,6.26953065227766,1.39586997032166
"...18",843,6.73448468019665,1.23933219909668,6.10069528892993,1.45973706245422
"...19",843,6.80179111352672,1.26076006889343,6.21295284877069,1.4118549823761
"...20",843,6.70049390482235,1.08590292930603,6.23195257702915,1.45635795593262
"...21",843,6.80169751737635,1.21920609474182,6.18275025434165,1.39988994598389
"...22",843,6.45431605959397,1.21845698356628,6.09537221111962,1.41375803947449
"...23",843,6.24344685896804,1.24981379508972,5.51539309809936,1.28061699867249
"...24",843,6.6505322195807,1.24105191230774,6.0039606805188,1.45841789245605
"...25",843,6.48213201949726,1.61835408210754,5.90946193700535,1.4199070930481
"...26",843,6.63964567062592,1.57719993591309,5.73152635279235,1.49857211112976
"...27",843,6.67231938792164,1.58788895606995,6.10021896562712,1.49395990371704
"...28",843,6.43395829174993,1.6237621307373,5.7544704241772,1.43861198425293
"...29",843,6.43307232144126,1.63204383850098,5.650894621855,1.48319816589355
"...30",843,6.83295736741593,1.47568202018738,6.22834199924032,1.58976292610168
"...31",843,6.78206970321483,1.1933319568634,5.90393199244595,1.40926098823547
"...32",843,6.7276348191342,1.60218787193298,5.90355071624738,1.45154404640198
"...33",843,6.41653059887987,1.46904683113098,5.96353787484193,1.14992594718933
"...34",843,6.7076497237343,1.37100100517273,6.05210335060281,1.3341269493103
"...35",843,6.91836454060347,1.40362000465393,6.32360680083304,1.3201220035553
"...36",843,6.65083832797517,1.4425311088562,5.99822925143921,1.1400990486145
"...37",843,6.72733722041709,1.40607690811157,6.28408021545234,1.30681490898132
"...38",843,6.94948573829291,1.41763806343079,6.33058865024256,1.30292797088623
"...39",843,6.33789854258068,1.03822112083435,5.7177991738326,1.39444804191589
"...40",843,6.59484477662699,1.39142894744873,5.979317678381,1.34109902381897
"...41",843,6.50912006009675,1.15156197547913,5.63667382034619,0.692390918731689
"...42",843,6.52835937217434,0.90857195854187,6.04985901144605,1.14186406135559
"...43",843,6.50219843552446,0.974636077880859,5.83382477172867,1.08576107025146
"...44",843,6.60843329811141,1.14120888710022,5.9792184406262,0.649276971817017
"...45",843,6.72680236344711,0.934934854507446,6.20667108526538,1.15723395347595
"...46",843,6.5774758392822,0.970061063766479,6.00392265913118,1.09979605674744
"...47",843,6.60445387750908,0.760565996170044,5.98770787051502,1.07020497322083
"...48",843,6.62087961685301,0.9757399559021,5.81753416936725,1.09293913841248
"...49",843,6.75551636591138,0.706442832946777,6.36448128340143,0.629508972167969
"...50",843,6.44263147086887,0.694916963577271,5.83042416684615,0.656983852386475
"...1",421,6.01011962674546,1.59554696083069,5.53488702264768,1.40533399581909
"...2",421,6.41254257058149,1.56595182418823,6.06980948246593,1.39904284477234
"...3",421,6.647830598469,1.5800461769104,5.93823557587601,1.40893507003784
"...4",421,6.9519567744245,1.53453087806702,6.56524900795327,1.39115405082703
"...5",421,6.46316841137952,1.57653188705444,5.96693397883177,1.40375709533691
"...6",421,6.52487525165072,1.52095079421997,6.11894682049254,1.41557502746582
"...7",421,6.23832029857943,1.44227814674377,5.47647460040036,1.214928150177
"...8",421,6.73459798609978,1.54326581954956,6.17978154498811,1.36213493347168
"...9",421,6.7390876547736,1.21347999572754,6.18935552672083,1.13664793968201
"...10",421,6.29501809606734,1.19066381454468,5.74724969305467,1.11313605308533
"...11",421,6.27366238555196,1.21008920669556,5.58424885738613,1.1316020488739
"...12",421,6.26089429552349,1.16234993934631,5.58237397741603,1.06748414039612
"...13",421,7.0551294659799,1.17658615112305,6.52477564755342,1.07609391212463
"...14",421,6.93848550205593,1.22847580909729,6.34739949392126,1.07256507873535
"...15",421,6.77758847890629,1.09043097496033,6.27842173283105,0.928447008132935
"...16",421,6.59166077539766,1.20241498947144,6.00662683486456,1.14560079574585
"...17",421,6.86547130848602,1.16029906272888,6.32852635475852,0.936897993087769
"...18",421,6.67667270630715,1.10192918777466,6.1404598660585,0.894856929779053
"...19",421,7.00805845475907,1.15652394294739,6.58182182978402,0.921344995498657
"...20",421,6.28076451212229,1.17591381072998,5.70001984017513,0.843852043151855
"...21",421,6.61597401437046,1.23487520217896,5.89166888210559,0.893096923828125
"...22",421,6.33431083200564,1.2280068397522,5.74050457112021,0.900593042373657
"...23",421,6.53856523764851,1.13139414787292,6.15640771512185,0.829135894775391
"...24",421,6.76733979522668,1.14977097511292,6.26895430709767,0.926610946655273
"...25",421,6.66759363759395,1.27245998382568,6.09057122664453,1.07373714447021
"...26",421,6.45904725860596,1.19819498062134,5.70116298443765,1.14180397987366
"...27",421,6.96788860114315,1.2503399848938,6.21293709843537,1.09467601776123
"...28",421,6.67496960950666,1.00902819633484,5.87950771297028,1.0877161026001
"...29",421,6.31733319955694,1.13914895057678,5.739724461241,1.1673378944397
"...30",421,6.60674226705974,1.09528303146362,6.19439571800371,1.19076585769653
"...31",421,6.40436432597672,0.963620901107788,5.76718148653266,1.10943007469177
"...32",421,6.58582215298611,1.23781704902649,5.80822124693509,1.05096912384033
"...33",421,6.75606025531222,1.13581490516663,6.17466335346968,1.15686011314392
"...34",421,6.47140706930215,1.05800604820251,5.81825320030013,1.24148488044739
"...35",421,7.02418762783163,1.05015110969543,6.64493426307266,1.24848008155823
"...36",421,6.55884941062414,0.955665111541748,6.2541965719275,1.15926313400269
"...37",421,6.91190277655118,1.08743286132812,6.50920953763186,1.20968389511108
"...38",421,6.51491614112876,1.0381281375885,5.89526863562883,1.22243905067444
"...39",421,6.51092151999217,0.958303928375244,5.88473598582865,1.10463213920593
"...40",421,6.57333584808188,1.1181800365448,6.24348458576853,1.19414710998535
"...41",421,6.606621175478,1.1555700302124,5.90323717362264,0.973687171936035
"...42",421,6.56637106442428,1.2367799282074,6.05857403154987,1.00510191917419
"...43",421,6.76095555004816,1.16022992134094,6.01303539210003,0.93439507484436
"...44",421,6.69426594999727,0.94468092918396,6.02565311186737,0.969604015350342
"...45",421,6.48857340063313,1.22712111473083,5.92204185530178,1.00123286247253
"...46",421,6.64055852880536,1.21920204162598,6.10585208172634,0.979011058807373
"...47",421,6.52812988181783,0.918942928314209,5.89576279971288,1.07060885429382
"...48",421,6.6048818687408,1.16514801979065,5.89175953363595,0.967558860778809
"...49",421,6.81861568860638,0.671434879302979,6.34973606931797,0.644824981689453
"...50",421,6.61802280595444,0.677542924880981,6.03984047329312,0.606159925460815
"...1",211,5.67672234057892,1.40797305107117,5.08158809128271,1.15874600410461
"...2",211,6.35791755779483,1.41471004486084,5.87383425587344,1.24993991851807
"...3",211,6.40150176623025,1.40832996368408,5.95041473449352,1.1834020614624
"...4",211,7.15047038041379,1.4477961063385,6.76654854680056,1.17954897880554
"...5",211,6.22280905544357,1.42814898490906,5.75485355042155,1.18923211097717
"...6",211,6.75808673059822,1.43071794509888,6.23409273887966,1.15270304679871
"...7",211,6.36093928518522,1.40710091590881,5.64452104868987,1.20950293540955
"...8",211,6.14224777480399,1.41427397727966,5.52356532024415,1.22384595870972
"...9",211,7.05406071631179,1.23853802680969,6.59906766673039,0.935017108917236
"...10",211,6.65677047300747,1.20101499557495,5.92262796026563,1.03319001197815
"...11",211,6.59626134030621,1.17729783058167,6.20572846565921,0.958397150039673
"...12",211,5.96718033634347,1.21496891975403,5.65078856121488,1.01796793937683
"...13",211,7.00697641932918,1.17608904838562,6.5884156605489,1.00623798370361
"...14",211,6.68689043916107,1.21599388122559,6.33345268202689,1.06814312934875
"...15",211,7.07757319914852,1.22195911407471,6.46583159399942,1.03892803192139
"...16",211,6.50493730745087,1.19327807426453,5.77576315215498,1.01749610900879
"...17",211,7.12133645613582,1.12193298339844,6.66381800632427,1.09326505661011
"...18",211,6.73668593552987,1.11221194267273,6.35175356316318,1.1036069393158
"...19",211,6.88333795520527,1.12251996994019,6.4351038316104,1.0082380771637
"...20",211,6.2995467450508,1.17985510826111,5.75617064367937,1.05114603042603
"...21",211,6.45643441213347,1.12600183486938,5.79886898071871,1.01776909828186
"...22",211,5.79195402643046,1.12671184539795,5.06905848729659,1.04543304443359
"...23",211,7.07547800860321,1.15276598930359,6.62953201583772,1.03185987472534
"...24",211,6.76947092617561,1.13937497138977,6.30173159381671,1.05416703224182
"...25",211,6.91372708530375,1.22540497779846,6.38835432685168,1.09972906112671
"...26",211,6.74424853360901,1.37532997131348,6.28286294180702,1.02233409881592
"...27",211,6.97494428808468,1.27271795272827,6.59994104984017,1.04164695739746
"...28",211,6.19569123454558,1.33729696273804,5.70621177909484,1.06689381599426
"...29",211,6.18809832268068,1.32958793640137,5.50674968740595,0.982846021652222
"...30",211,6.98323415620331,1.38995313644409,6.63311177340891,1.05247282981873
"...31",211,6.39801253530278,1.31276893615723,5.83678215739534,1.03597807884216
"...32",211,6.55623113747145,1.37049078941345,5.99069591006359,1.04142808914185
"...33",211,6.15572100622926,1.09131503105164,5.66436463272753,1.05384087562561
"...34",211,6.14128622744227,1.05125713348389,5.52420689848205,1.22146892547607
"...35",211,7.42974144574186,1.08555197715759,6.9998883091365,1.0173499584198
"...36",211,6.65809270058928,1.02319097518921,5.81799071970998,1.25158596038818
"...37",211,6.99125659645119,1.08544111251831,6.8418564375514,1.05973792076111
"...38",211,6.73807975360318,1.05728197097778,5.77909635380471,1.28727197647095
"...39",211,6.06246151144507,1.0563850402832,5.45365234221283,1.31353902816772
"...40",211,6.93430466627054,1.05714893341064,6.28652485250303,1.2319278717041
"...41",211,7.13727035316618,0.631527900695801,6.57761037335973,0.650333166122437
"...42",211,6.75113348801123,0.734517097473145,6.06838722406075,0.612588882446289
"...43",211,6.71370537229476,0.625308036804199,6.08284804367139,0.668738126754761
"...44",211,6.26392286005477,0.690114974975586,5.51656950455575,0.622982978820801
"...45",211,6.88871905255428,0.656373977661133,6.5199999187462,0.645251989364624
"...46",211,6.59651244114579,0.685404062271118,5.94899786554163,0.568445920944214
"...47",211,6.38961728133366,0.680292129516602,5.84776966621535,0.559644937515259
"...48",211,5.99938335354494,0.657427072525024,5.61554820245532,0.634989023208618
"...49",211,6.83704702958661,0.693440914154053,6.21418384148604,0.627955913543701
"...50",211,6.45633925620203,0.705008983612061,5.99394057519609,0.620398044586182
